wall,-26.6301,28.3818,0.0,-26.6301,31.1296,0.0
wall,-13.3821,41.9917,0.0,-11.3621,39.9717,0.0
wall,-11.3621,39.9717,0.0,-11.3621,25.8641,0.0
wall,-11.6141,17.1517,0.0,-11.6141,25.8641,0.0
wall,-14.2756,33.2208,0.0,-14.2756,17.6479,0.0
wall,-14.2756,17.6479,0.0,-11.6141,17.6479,0.0
wall,-11.6141,17.4656,0.0,53.7192,17.4656,0.0
wall,-11.3621,28.8302,0.0,53.7192,28.8302,0.0
wall,-11.6141,3.3388,0.0,-11.6141,11.7631,0.0
wall,53.8077,11.7631,0.0,-14.3473,11.7631,0.0
wall,-14.3473,11.7631,0.0,-14.3473,3.3388,0.0
wall,-14.3473,3.3388,0.0,-11.4341,3.3388,0.0
wall,-11.6141,-11.0171,0.0,-11.6141,-2.6717,0.0
wall,-11.6141,-2.6717,0.0,-14.4341,-2.6717,0.0
wall,-14.4341,-11.0171,0.0,-14.4341,-2.6717,0.0
wall,-14.4341,-11.0171,0.0,-11.6141,-11.0171,0.0
wall,-11.4341,3.3388,0.0,-11.4341,-2.6717,0.0
wall,53.8077,-11.1958,0.0,-11.6141,-11.1958,0.0
wall,56.589,-11.0292,0.0,53.8077,-11.0292,0.0
wall,56.589,-11.0292,0.0,56.589,-2.6958,0.0
wall,56.589,-2.6958,0.0,53.8077,-2.6958,0.0
wall,53.8077,-11.0292,0.0,53.8077,11.6375,0.0
wall,56.589,3.3042,0.0,53.8077,3.3042,0.0
wall,56.589,3.3042,0.0,56.589,6.4708,0.0
wall,56.589,11.6375,0.0,56.589,9.8042,0.0
wall,56.589,11.6375,0.0,53.8077,11.6375,0.0
wall,55.9223,9.8042,0.0,56.589,9.8042,0.0
wall,55.9223,9.8042,0.0,55.9223,6.4708,0.0
wall,55.9223,6.4708,0.0,56.589,6.4708,0.0
wall,70.7367,10.7833,0.0,70.7367,11.7631,0.0
wall,70.7367,11.7631,0.0,62.4067,11.7631,0.0
door,-20.4579,8.2592,0.0,0.0,0.0,0.0
door,-22.7912,1.6992,0.0,0.0,0.0,0.0
door,-22.7912,-1.1109,0.0,0.0,0.0,0.0
door,-20.4579,-19.7061,0.0,0.0,0.0,0.0
door,-18.5617,-32.5456,0.0,0.0,0.0,0.0
door,-15.9305,-32.5456,0.0,0.0,0.0,0.0
door,2.7148,-16.7954,0.0,0.0,0.0,0.0
door,13.3939,-16.7954,0.0,0.0,0.0,0.0
door,24.0075,-16.7954,0.0,0.0,0.0,0.0
door,34.6866,-16.7954,0.0,0.0,0.0,0.0
door,39.4602,-16.7954,0.0,0.0,0.0,0.0
door,69.1984,-12.0578,0.0,0.0,0.0,0.0
door,69.1984,-14.6234,0.0,0.0,0.0,0.0
door,62.4067,-2.8396,0.0,0.0,0.0,0.0
door,62.4067,8.2595,0.0,0.0,0.0,0.0
door,60.2233,17.458,0.0,0.0,0.0,0.0
door,-35.2463,28.3818,0.0,0.0,0.0,0.0
door,-24.4247,33.2208,0.0,0.0,0.0,0.0
door,-16.2359,33.2208,0.0,0.0,0.0,0.0
door,3.043,17.4656,0.0,0.0,0.0,0.0
door,7.0949,17.4656,0.0,0.0,0.0,0.0
door,35.0594,17.4656,0.0,0.0,0.0,0.0
door,39.1113,17.4656,0.0,0.0,0.0,0.0
door,28.5962,11.7631,0.0,0.0,0.0,0.0
door,44.8035,11.7631,0.0,0.0,0.0,0.0
door,-11.4341,0.9421,0.0,0.0,0.0,0.0
door,28.9451,-11.1958,0.0,0.0,0.0,0.0
door,44.6931,-11.1958,0.0,0.0,0.0,0.0
