Type,x_1,y_1,z_1,x_2,y_2,z_2,Orientation,Width,Height
wall,7.2828,4.3607,0.0,7.2828,-2.7513,0.0,0.0,0.0,0.0
wall,7.2828,-2.7513,0.0,14.8017,-2.7513,0.0,0.0,0.0,0.0
wall,-9.843,9.3375,0.0,-9.843,10.2154,0.0,0.0,0.0,0.0
wall,-9.7112,10.2154,0.0,-10.1818,10.2154,0.0,0.0,0.0,0.0
wall,-10.1818,10.2154,0.0,-10.7964,10.83,0.0,0.0,0.0,0.0
wall,-10.7964,10.83,0.0,-10.7964,12.925,0.0,0.0,0.0,0.0
wall,-10.7964,12.925,0.0,-10.1818,13.5397,0.0,0.0,0.0,0.0
wall,-10.1818,13.5397,0.0,-10.1818,10.2154,0.0,0.0,0.0,0.0
wall,-10.1818,13.5397,0.0,-5.9983,13.5397,0.0,0.0,0.0,0.0
wall,-5.9983,13.5397,0.0,-5.9983,6.0879,0.0,0.0,0.0,0.0
wall,-5.9983,6.0879,0.0,-5.0983,6.0879,0.0,0.0,0.0,0.0
wall,-5.0983,5.9879,0.0,-5.0983,12.9577,0.0,0.0,0.0,0.0
wall,-5.0983,12.9577,0.0,-5.6802,13.5397,0.0,0.0,0.0,0.0
wall,-5.6802,13.5397,0.0,-5.9983,13.5397,0.0,0.0,0.0,0.0
wall,-5.0983,5.9879,0.0,-4.8983,5.9879,0.0,0.0,0.0,0.0
wall,-7.8564,8.6442,0.0,-5.9983,8.6442,0.0,0.0,0.0,0.0
wall,-9.7112,10.2154,0.0,-9.7112,10.698,0.0,0.0,0.0,0.0
wall,-9.7112,10.698,0.0,-10.1818,10.698,0.0,0.0,0.0,0.0
wall,-10.1818,13.0275,0.0,-9.7112,13.0275,0.0,0.0,0.0,0.0
wall,-9.7112,13.0275,0.0,-9.7112,13.5397,0.0,0.0,0.0,0.0
wall,-5.9983,8.2528,0.0,-5.0983,8.2528,0.0,0.0,0.0,0.0
wall,-5.0983,9.4728,0.0,14.7949,9.4728,0.0,0.0,0.0,0.0
wall,14.8017,-7.6123,0.0,-5.0983,-7.6123,0.0,0.0,0.0,0.0
door,-7.8564,7.63,0.0,0.0,0.0,0.0,1.5708,0.915,2.134
door,-7.8564,-7.605,0.0,0.0,0.0,0.0,1.5708,0.915,2.134
door,-7.8564,-8.52,0.0,0.0,0.0,0.0,4.7124,0.915,2.134
door,-7.2489,-9.1625,0.0,0.0,0.0,0.0,3.1416,0.915,2.134
door,-6.3793,-9.1625,0.0,0.0,0.0,0.0,6.2832,0.762,2.032
door,17.3976,-1.6568,0.0,0.0,0.0,0.0,1.5708,0.915,2.134
door,17.3976,3.2531,0.0,0.0,0.0,0.0,1.5708,0.915,2.134
door,-0.5418,-4.4531,0.0,0.0,0.0,0.0,6.2832,0.813,2.134
door,0.4712,-4.4531,0.0,0.0,0.0,0.0,3.1416,0.813,2.134
door,9.2452,-4.4531,0.0,0.0,0.0,0.0,6.2832,0.813,2.134
door,10.1582,-4.4531,0.0,0.0,0.0,0.0,3.1416,0.813,2.134
door,16.1678,6.0625,0.0,0.0,0.0,0.0,3.1416,0.762,2.134
door,16.9494,6.0625,0.0,0.0,0.0,0.0,6.2832,0.762,2.134
door,9.2129,5.9863,0.0,0.0,0.0,0.0,6.2832,0.864,2.134
door,10.2769,5.9863,0.0,0.0,0.0,0.0,3.1416,0.864,2.134
door,0.5188,5.9863,0.0,0.0,0.0,0.0,3.1416,0.864,2.134
door,-0.5452,5.9863,0.0,0.0,0.0,0.0,6.2832,0.864,2.134
door,-5.9983,0.8047,0.0,0.0,0.0,0.0,4.7124,0.864,2.134
door,-0.8003,4.3607,0.0,0.0,0.0,0.0,6.2832,0.864,2.134
door,-0.8003,-2.7751,0.0,0.0,0.0,0.0,6.2832,0.864,2.134
door,15.6868,0.7954,0.0,0.0,0.0,0.0,4.7124,0.864,2.134
door,10.4848,4.3607,0.0,0.0,0.0,0.0,3.1416,0.864,2.134
door,10.4848,-2.7513,0.0,0.0,0.0,0.0,3.1416,0.864,2.134
window,-14.4345,-6.7986,0.305,0.0,0.0,0.0,1.5708,0.406,1.83
window,-14.4345,-5.7906,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,-4.4806,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,-2.7706,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,-1.4606,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,0.2494,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,1.6594,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,3.2694,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,4.6794,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,6.3894,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
window,-14.4345,7.6994,0.305,0.0,0.0,0.0,1.5708,0.61,1.83
